z	D_M_Mpc	D_A_Mpc	H_1perMpc	D_V_Mpc	D_H_Mpc	F_AP	D_M_over_r_d	D_V_over_r_d
0.106000	456.868941695	413.082225764	2.154635760835e-04	468.279440516	4641.155680125	0.098438616	3.106438582	3.184023225
0.150000	639.463144646	556.054908388	2.120292531629e-04	661.366466845	4716.330341604	0.135584893	4.347971164	4.496900800
0.320000	1305.351864171	988.902927402	2.030284813246e-04	1390.004052955	4925.417328032	0.265023607	8.875620607	9.451205422
0.350000	1416.351755030	1049.149448170	2.020051318180e-04	1514.779075309	4950.369285177	0.286110323	9.630354213	10.299601774
0.570000	2172.755523641	1383.920715695	1.981126560205e-04	2385.950632773	5047.633099708	0.430450368	14.773452453	16.223053098
0.610000	2299.829070975	1428.465261475	1.979407949838e-04	2535.489878366	5052.015680152	0.455229995	15.637477416	17.239831521
0.800000	2862.974577763	1590.541432090	1.986766172418e-04	3207.692567195	5033.304944903	0.568806104	19.466533781	21.810412221
1.000000	3390.060597168	1695.030298584	2.014361825383e-04	3849.690482499	4964.351425842	0.682880865	23.050406961	26.175618326
1.500000	4470.279702125	1788.111880850	2.129244766618e-04	5202.095912828	4696.500917498	0.951831966	30.395257963	35.371175353
2.340000	5762.802629817	1725.390008927	2.370512669912e-04	6895.202459829	4218.496752592	1.366079665	39.183649390	46.883298460
